43.9932 	EXP 	text_image: image = u'words\\arg2clean\\30.png'
43.9932 	EXP 	text_image: autoDraw = True
44.9609 	EXP 	New trial (rep=0, index=30): {'words': u'"words\\arg2clean\\31.png"'}
44.9795 	EXP 	text_image: autoDraw = False
44.9795 	EXP 	text_image: autoDraw = False
44.9795 	EXP 	text_image: image = u'words\\arg2clean\\31.png'
44.9795 	EXP 	text_image: autoDraw = True
45.9473 	EXP 	New trial (rep=0, index=31): {'words': u'"words\\arg2clean\\32.png"'}
45.9661 	EXP 	text_image: autoDraw = False
45.9661 	EXP 	text_image: autoDraw = False
45.9661 	EXP 	text_image: image = u'words\\arg2clean\\32.png'
45.9661 	EXP 	text_image: autoDraw = True
46.9342 	EXP 	New trial (rep=0, index=32): {'words': u'"words\\arg2clean\\33.png"'}
46.9534 	EXP 	text_image: autoDraw = False
46.9534 	EXP 	text_image: autoDraw = False
46.9534 	EXP 	text_image: image = u'words\\arg2clean\\33.png'
46.9534 	EXP 	text_image: autoDraw = True
47.9213 	EXP 	New trial (rep=0, index=33): {'words': u'"words\\arg2clean\\34.png"'}
47.9396 	EXP 	text_image: autoDraw = False
47.9396 	EXP 	text_image: autoDraw = False
47.9396 	EXP 	text_image: image = u'words\\arg2clean\\34.png'
47.9396 	EXP 	text_image: autoDraw = True
48.9076 	EXP 	New trial (rep=0, index=34): {'words': u'"words\\arg2clean\\35.png"'}
48.9263 	EXP 	text_image: autoDraw = False
48.9263 	EXP 	text_image: autoDraw = False
48.9263 	EXP 	text_image: image = u'words\\arg2clean\\35.png'
48.9263 	EXP 	text_image: autoDraw = True
49.8941 	EXP 	New trial (rep=0, index=35): {'words': u'"words\\arg2clean\\36.png"'}
49.9129 	EXP 	text_image: autoDraw = False
49.9129 	EXP 	text_image: autoDraw = False
49.9129 	EXP 	text_image: image = u'words\\arg2clean\\36.png'
49.9129 	EXP 	text_image: autoDraw = True
50.8808 	EXP 	New trial (rep=0, index=36): {'words': u'"words\\arg2clean\\37.png"'}
50.8993 	EXP 	text_image: autoDraw = False
50.8993 	EXP 	text_image: autoDraw = False
50.8993 	EXP 	text_image: image = u'words\\arg2clean\\37.png'
50.8993 	EXP 	text_image: autoDraw = True
51.8675 	EXP 	New trial (rep=0, index=37): {'words': u'"words\\arg2clean\\38.png"'}
51.8859 	EXP 	text_image: autoDraw = False
51.8859 	EXP 	text_image: autoDraw = False
51.8859 	EXP 	text_image: image = u'words\\arg2clean\\38.png'
51.8859 	EXP 	text_image: autoDraw = True
52.8535 	EXP 	New trial (rep=0, index=38): {'words': u'"words\\arg2clean\\39.png"'}
52.8727 	EXP 	text_image: autoDraw = False
52.8727 	EXP 	text_image: autoDraw = False
52.8727 	EXP 	text_image: image = u'words\\arg2clean\\39.png'
52.8727 	EXP 	text_image: autoDraw = True
53.8404 	EXP 	New trial (rep=0, index=39): {'words': u'"words\\arg2clean\\40.png"'}
53.8601 	EXP 	text_image: autoDraw = False
53.8601 	EXP 	text_image: autoDraw = False
53.8601 	EXP 	text_image: image = u'words\\arg2clean\\40.png'
53.8601 	EXP 	text_image: autoDraw = True
54.8269 	EXP 	New trial (rep=0, index=40): {'words': u'"words\\arg2clean\\41.png"'}
54.8465 	EXP 	text_image: autoDraw = False
54.8465 	EXP 	text_image: autoDraw = False
54.8465 	EXP 	text_image: image = u'words\\arg2clean\\41.png'
54.8465 	EXP 	text_image: autoDraw = True
55.8157 	EXP 	New trial (rep=0, index=41): {'words': u'"words\\arg2clean\\42.png"'}
55.8326 	EXP 	text_image: autoDraw = False
55.8326 	EXP 	text_image: autoDraw = False
55.8326 	EXP 	text_image: image = u'words\\arg2clean\\42.png'
55.8326 	EXP 	text_image: autoDraw = True
56.8219 	EXP 	New trial (rep=0, index=42): {'words': u'"words\\arg2clean\\43.png"'}
56.8406 	EXP 	text_image: autoDraw = False
56.8406 	EXP 	text_image: image = u'words\\arg2clean\\43.png'
56.8406 	EXP 	text_image: autoDraw = True
57.8084 	EXP 	New trial (rep=0, index=43): {'words': u'"words\\arg2clean\\44.png"'}
57.8274 	EXP 	text_image: autoDraw = False
57.8274 	EXP 	text_image: autoDraw = False
57.8274 	EXP 	text_image: image = u'words\\arg2clean\\44.png'
57.8274 	EXP 	text_image: autoDraw = True
58.8135 	EXP 	New trial (rep=0, index=44): {'words': u'"words\\arg2clean\\45.png"'}
58.8326 	EXP 	text_image: autoDraw = False
58.8326 	EXP 	text_image: image = u'words\\arg2clean\\45.png'
58.8326 	EXP 	text_image: autoDraw = True
59.8007 	EXP 	New trial (rep=0, index=45): {'words': u'"words\\arg2clean\\46.png"'}
59.8203 	EXP 	text_image: autoDraw = False
59.8203 	EXP 	text_image: autoDraw = False
59.8203 	EXP 	text_image: image = u'words\\arg2clean\\46.png'
59.8203 	EXP 	text_image: autoDraw = True
60.7897 	EXP 	New trial (rep=0, index=46): {'words': u'"words\\arg2clean\\47.png"'}
60.8069 	EXP 	text_image: autoDraw = False
60.8069 	EXP 	text_image: autoDraw = False
60.8069 	EXP 	text_image: image = u'words\\arg2clean\\47.png'
60.8069 	EXP 	text_image: autoDraw = True
61.7949 	EXP 	New trial (rep=0, index=47): {'words': u'"words\\arg2clean\\48.png"'}
61.8139 	EXP 	text_image: autoDraw = False
61.8139 	EXP 	text_image: image = u'words\\arg2clean\\48.png'
61.8139 	EXP 	text_image: autoDraw = True
62.7809 	EXP 	New trial (rep=0, index=48): {'words': u'"words\\arg2clean\\49.png"'}
62.8002 	EXP 	text_image: autoDraw = False
62.8002 	EXP 	text_image: autoDraw = False
62.8002 	EXP 	text_image: image = u'words\\arg2clean\\49.png'
62.8002 	EXP 	text_image: autoDraw = True
63.7690 	EXP 	Imported questions.csv as conditions, 5 conditions, 1 params
63.7702 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
63.7718 	EXP 	New trial (rep=0, index=0): {'question': u'"This argument was convincing."'}
63.8083 	EXP 	text_image: autoDraw = False
63.8083 	EXP 	text_image: autoDraw = False
63.8083 	EXP 	question_text: text = u'"This argument was convincing."'
64.3112 	EXP 	question_text: autoDraw = True
66.4662 	DATA 	Keypress: 9
66.4685 	EXP 	New trial (rep=0, index=1): {'question': u'"There were logical flaws in this argument."'}
66.5019 	EXP 	question_text: autoDraw = False
66.5019 	EXP 	question_text: text = u'"There were logical flaws in this argument."'
66.9888 	EXP 	question_text: autoDraw = True
67.3326 	DATA 	Keypress: 9
67.3345 	EXP 	New trial (rep=0, index=2): {'question': u'"This argument might be wrong but it was well argued nonetheless."'}
67.3799 	EXP 	question_text: autoDraw = False
67.3799 	EXP 	question_text: text = u'"This argument might be wrong but it was well argued nonetheless."'
67.8545 	EXP 	question_text: autoDraw = True
68.1781 	DATA 	Keypress: 7
68.1797 	EXP 	New trial (rep=0, index=3): {'question': u'"This was a well formed argument."'}
68.2068 	EXP 	question_text: autoDraw = False
68.2068 	EXP 	question_text: text = u'"This was a well formed argument."'
68.7003 	EXP 	question_text: autoDraw = True
69.0040 	DATA 	Keypress: 4
69.0059 	EXP 	New trial (rep=0, index=4): {'question': u'"This argument was unconvincing."'}
69.0378 	EXP 	question_text: autoDraw = False
69.0378 	EXP 	question_text: text = u'"This argument was unconvincing."'
69.5267 	EXP 	question_text: autoDraw = True
69.8501 	DATA 	Keypress: 0
69.8506 	DATA 	Keypress: 9
69.8679 	EXP 	question_text: autoDraw = False
70.3927 	EXP 	text_3: autoDraw = True
70.5940 	DATA 	Keypress: escape
